Saldo;Ahorro general;Sexo;Saldo_por_vencer;Saldo_pendiente;Provision;Dias_Mora;edad_cliente;estado_civil;Mora;Antiguedad_meses;Ingresos;Descuentos;Calificacion;Puntaje
157937.0;0.0;Masculino;3.563.663.856.478.950;0.0;4.082.842.938.438.760;0.0;32.0;SOLTERO;0.001736533823252266;2.323.651.385.516.870;2.698.710.005.597.550;17.447.337.247.662.100;A1;33.280.393.521.030.800
45620.0;0.0;Masculino;5.159.779.321.264.420;0.0;51.617.101.296.148.000;0.0;24.0;SOLTERO;0.00533902170063435;25.753.918.470.722.500;7.648.775.178.829.910;40.023.453.338.138.700;A1;10.600.735.787.149.000
136131.0;5.0;Masculino;5.052.862.723.655.550;0.9552940903156593;4.952.373.020.244.250;0.0;32.0;SOLTERO;0.0007201531797656781;9.682.596.461.210.050;9.251.242.375.557.740;6.429.723.536.579.690;A1;23.564.100.128.967.000
55173.0;0.0;Femenino;2.629.793.215.954.400;0.0;2.629.887.781.031.790;0.0;34.0;CASADO;0.0;9.693.333.333.333.330;804.4;692.81;A1;1.172.561.374.305.600
20471.0;0.0;Masculino;3.652.263.534.553.150;0.0;3.167.981.273.409.850;0.0;37.0;SOLTERO;0.0032526097970957636;3.298.840.684.760.000;6.812.658.501.305.150;5.333.997.880.907.220;A1;7.695.096.072.786.680
40412.0;0.0;Masculino;1.728.840.609.965.650;0.0;1.986.931.780.125.450;0.0;37.0;SOLTERO;0.001851907260572037;4.999.777.462.185.090;7.781.442.234.429.190;44.940.943.718.450.400;A1;9.081.339.468.650.210
187901.0;50.0;Femenino;14.232.804.103.284.700;0.0;14.235.543.040.005.200;0.0;32.0;CASADO;0.0;100.8;1209.95;919.45;A1;3.742.705.920.664.970
15196.0;0.0;Masculino;8.394.319.543.502.040;0.0;15.445.405.980.950.400;0.0;31.0;SOLTERO;0.0011501752079813804;37.611.530.500.076.600;5.847.687.916.314.210;4.572.032.059.472.920;A1;571.215.753.024.505
17064.0;44.0;Masculino;19.400.145.391.684.800;0.8255818368203657;4.077.936.444.505.750;0.0;27.0;SOLTERO;0.0014936080819103333;26.257.809.791.376.400;6.686.049.052.228.130;5.453.757.789.193.640;A1;6.155.565.862.341.150
56422.0;9.0;Masculino;2.177.821.893.405.800;0.0;25.787.393.384.047.200;0.0;37.0;SOLTERO;3,19E+10;1.881.743.096.323.980;10.152.540.280.050.200;8.772.889.045.458.950;A1;13.781.061.162.252.500
